pto_no,pto_name,permit_id,is_intercity,route_text
NTSA/RSN-0039,BENJO( K) LTD,ADR-537HOWE,True,"nairobi, matuu, kitui, mwingi"
NTSA/RSN-0039,BENJO( K) LTD,ADR-A5AC78Q,True,"nairobi, mwingi,thika,matuu, kitui"
NTSA/RSN-0050,BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-K9BFLV9,False,"Commercial, muthurwaJogoo road Lusaka Likoni rd JerichoBuruburu Rabai rd Outering rdAlsops Kangundo rd Eastern bypass, Malaa"
NTSA/RSN-0050,BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-7WRSVZ6,False,"Commercial, muthurwaJogoo road Lusaka Enterprise rd Likoni rd Jericho Buruburu Rabai rd Outering rd Alsops Kangundo rd Eastern bypass, Malaa"
NTSA/RSN-0050,BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-BQ9S53D,False,"buruburu, jogoo rd accra, commercial"
NTSA/RSN-0050,BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-REOSRLV,False,"buruburu, jogoo road, commercial"
NTSA/RSN-0050,BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-MDMSQA8,False,"commercial, buruburu,muthurwa, jogoo road"
NTSA/RSN-0050,BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-YM3S6EM,False,"buruburu, commercial, jogoo road"
NTSA/RSN-9870,BYBUSS TRANS LIMITED,NTR-00202007061248330,False,"Khoja via Ngara Rd, WestlandsWangige via Lower Kabete RdNyathunaNgechaKabukuLimuru Kikuyu Kiambu Ruiru, Thika(Makongeni)"
NTSA/RSN-9870,BYBUSS TRANS LIMITED,NTR-00202009081636350,False,"Kiserian, Ngong Dagoretti Wangige Khoja Thika Gatuanyaga Ruiru Kiambu, Limuru"
NTSA/RSN-9870,BYBUSS TRANS LIMITED,NTR-00202102051433520,False,"Khoja, Ngara Westlands kangemi wangige nyathuna gachie ngecha kabuku ruaka Kikuyu limuru kiambu ruiru Thika(makongeni), muranga"
