pto_no,sacco_clean,route_hints,pto_name_raw,declared_routes,parsed_routes_count
NTSA/RSN-0500,Ongata Rongai BUS Services,,ongata rongai bus services,6,6
NTSA/RSN-0501,Orokise,,OROKISE SACCO LTD,11,11
NTSA/RSN-0502,Oromats Society,,OROMATS SACCO SOCIETY LTD,13,13
NTSA/RSN-0503,Outer Circle,,OUTER CIRCLE SACCO,6,6
NTSA/RSN-0504,Outreach Travel,,OUTREACH TRAVEL,8,8
NTSA/RSN-0506,Pakin Alicia Society,,PAKIN ALICIA SACCO SOCIETY LTD,14,14
NTSA/RSN-01749,Pals Matatu,,PALS MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,2,2
NTSA/RSN-3487,Peja,,peja travellers limited,3,3
NTSA/RSN-0508,Pejo Tech Company,,PEJO TECH COMPANY LTD,4,4
NTSA/RSN-0510,Pinpoint Solution (k),,PINPOINT SOLUTION (K) LTD,11,11
NTSA/RSN-0513,Prime Transcity,,prime  transcity limited,14,14
NTSA/RSN-0516,QUE Services,,QUE SERVICES SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,8,8
NTSA/RSN-02043,RAJ Safaris,,RAJ SAFARIS LIMITED,3,3
NTSA/RSN-4328,Rasasi,,rasasi travellers limited,5,5
NTSA/RSN-0523,Rembo Shuttle Savings AND Credit,,REMBO SHUTTLE SAVINGS AND CREDIT SACCO LTD,14,14
NTSA/RSN-1912,Risen Company,,RISEN COMPANY LIMITED,10,10
NTSA/RSN-0527,ROG,,ROG TRAVELLERS SAVINGS AND CREDIT COOPERATIVE SOCIETY LTD,11,11
NTSA/RSN-0529,Rongao Saving AND Credit,,RONGAO SAVING AND CREDIT COOPERATIVE SOCIETY LIMITED,10,10
NTSA/RSN-0532,Royal Swift Express,,ROYAL SWIFT EXPRESS LIMITED,7,7
NTSA/RSN-0533,Rukagina 44,44,RUKAGINA 44 SACCO,8,8
NTSA/RSN-0534,Rukine Savings AND Credit Co-operatve Society,,RUKINE TRAVELLERS SAVINGS AND CREDIT CO-OPERATVE SOCIETY LIMITED,6,6
NTSA/RSN-0536,Runka Services,,RUNKA SERVICES COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,8,8
NTSA/RSN-0537,Rwaken Investments,,RWAKEN INVESTMENTS LIMITED,6,6
NTSA/RSN-02025,Rware,,RWARE TRAVELLERS SACCO,2,2
NTSA/RSN-4063,Safeline Matatu Socco Society,,SAFELINE MATATU SOCCO SOCIETY LIMITED,3,3
NTSA/RSN-02033,Salty Bizada Investment,,SALTY BIZADA INVESTMENT LIMITED,3,3
NTSA/RSN-02042,Salty Investments,,SALTY INVESTMENTS LIMITED,3,3
NTSA/RSN-6455,Salty Supporters Investment,,SALTY SUPPORTERS INVESTMENT LIMITED,5,4
NTSA/RSN-0547,Serian,,SERIAN SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,11,11
NTSA/RSN-0548,Seven City Shuttle,,seven city shuttle limited,2,2
NTSA/RSN-01767,Single Line,,SINGLE LINE SERVICES LIMITED,4,4
NTSA/RSN-1900,Smoke City,,SMOKE CITY SACCO LIMITED,4,4
NTSA/RSN-0563,Snowball Society,,SNOWBALL SACCO SOCIETY LTD,8,8
