route,corridor,from_terminus,to_terminus,stages,already_done,known_terminals,known_saccos,researched_terminal,researched_saccos,research_confidence,YOUR_TERMINAL,YOUR_SACCOS
33B,mombasa_road,Commercial,Baraka Estate,25,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Odeon | Otc,"Embassava, Manmo, Risen Company",medium,,
33TP,mombasa_road,Commercial,Transami,16,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Libera Impex, Geobeat Maoka, Indima (nje), Risen Company",high,,
110AK,mombasa_road,Devki,Kitengela,11,,,,Railways,Metro Trans,low,,
33FED,mombasa_road,Commercial,Posta Embakasi Village,22,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Geobeat Maoka, Libera Impex, Risen Company, ROG",high,,
33IMR,mombasa_road,Commercial Imara,Imara Daima,11,,,,Bus Station | Commercial | Kencom | Knh | Odeon | Otc,Risen Company,medium,,
33MKR,mombasa_road,Bus Station,Maziwa,12,,,,Bus Station | Commercial | Kencom | Knh | Muthurwa | Odeon | Otc,"Indima (nje), Risen Company",medium,,
33UTW,mombasa_road,Ambassadeur,Githunguri,29,,,,Bus Station | Commercial | Kencom | Knh | Odeon | Otc,"Tawala Shuttle, Risen Company",medium,,
110ATH,mombasa_road,Easy Coach/Uchumi,Makadara,37,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"MNK Society, Embassava, Indima (nje), Kiragi",high,,
2,ngong_road,Railways,Dagoretti Market Mwisho,30,,,,Bus Station | Fig Tree | Gikomba | Kencom | Knh | Koja | Muthurwa | Odeon | Railways,"2B, Garamu Travel Solutions, Pakin Alicia Society, Unified International",high,,
5,ngong_road,Kencom,Togo Apartments,15,,,,Bus Station | Commercial | Kencom | Knh | Odeon | Otc | Railways,"City Star Shuttle, KBS, Lothian Transporters, Luminous Shuttles",high,,
8,ngong_road,Railways,Equity Ayani,19,,,,Gikomba | Kencom | Knh | Odeon | Railways,"Kibera Bureti, Kibera, Kiragi, RAJ Safaris",high,,
24,ngong_road,Karen/Shell,Kencom,30,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"KBS, City Star Shuttle, Express Connections, Unified International",high,,
4W,ngong_road,Railways,Chemist/Kwa Maji/Kaberia,35,,,,Bus Station | Commercial | Gikomba | Kencom | Knh | Koja | Odeon | Otc | Railways,"Garamu Travel Solutions, RAJ Safaris, Kadana, Kibera Bureti",high,,
102,ngong_road,Railways,Kikuyu,40,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Koja | Muthurwa | Odeon | Otc | Railways,"Pakin Alicia Society, Kadana, Garamu Travel Solutions, MAT TWO Friends",high,,
111,ngong_road,Railways,Ngong Bus Terminus,58,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Nangkis Matatu, Risen Company, Luminous Shuttles, Ngong",high,,
24C,ngong_road,Kencom,Karen,27,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"KBS, Express Connections, City Star Shuttle, Unified International",high,,
32A,ngong_road,Kencom,Ayani,25,,,,Bus Station | Commercial | Kencom | Knh | Odeon | Otc,"Unified International, Metrotrans East Africa, Lothian Transporters, Risen Company",high,,
25,thika_road,Odeon Terminal,Baba Ndogo Terminal,17,,,,Fig Tree | Gikomba | Odeon,"Baba Dogo 25, Lopha",high,,
43,thika_road,Bus Station,Ngumba Terminal,13,,,,,,,,
49,thika_road,Odeon Terminals,Sunton,28,,,,Fig Tree | Odeon,Lopha,medium,,
17B,thika_road,Bus Station,Mwiki,35,,,,,,,,
