pto_no,sacco,permit_id,route_hints,is_intercity,route_text,pto_name_raw
NTSA/RSN-9870,Bybuss Trans,ADR-BQ9SMJB,,False,"Khoja via Ngara Rd, WestlandsWangige via Lower Kabete RdNyathunaNgechaKabuku, Limuru",BYBUSS TRANS LIMITED
NTSA/RSN-9870,Bybuss Trans,ADR-REOSYWM,,False,"Khoja, Ngara Westlands kangemi wangige nyathuna gachie ngecha kabuku ruaka Kikuyu limuru kiambu ruiru, Thika(makongeni)",BYBUSS TRANS LIMITED
NTSA/RSN-9870,Bybuss Trans,ADR-MDMSEYL,,False,"Thika (makongeni), Kiambu ruakagachie wangige nyathuna ngecha kabuku limuru kangemi Dagoretti ngong, Kiserian, 8Ngara;Westlands,Ruaka,Gachie,Ngecha,Banana,Kiambu,Limuru,Kikuyu,Kangemi,Dagoret,Karen,Boma,Ngong - Kiserian and back",BYBUSS TRANS LIMITED
NTSA/RSN-0053,Cbet,NTR-00202012111552070,,False,"Gillhouse, Jogoo rd Buruburu Outering rd Kangundo rd, Koma bus park",CBET SACCO
NTSA/RSN-0053,Cbet,NTR-00202012111553240,,True,"Gillhouse, Mombasa rd Athi river, Machakos",CBET SACCO
NTSA/RSN-0053,Cbet,NTR-00202104141523000,,False,"kyumbi, malili, konza city",CBET SACCO
NTSA/RSN-0053,Cbet,NTR-00202104141524480,,False,"kenol, njumbi murarandaia githiga, kiria-ini",CBET SACCO
NTSA/RSN-0053,Cbet,NTR-0063,,True,"Gillhouse, MuthurwaJogoo roadBuruburu civil servant outering rd komarock bus park mombasa rd athi river machakos kyumbi malili murarandia githiga njumbi konza city kenol kangundo rd, kiria-ini",CBET SACCO
NTSA/RSN-0053,Cbet,ADR-A5AC86D,,True,"gillhouse, muthurwa,jogoo road,buruburu,civil servant,Outering rd,Komarock Bus Park,Mombasa rd,Athiriver,Machakos,Kyumbi,Malili,Murarandi,Githiga, Kiria-ini",CBET SACCO
NTSA/RSN-0053,Cbet,ADR-9AKFR5P,,False,"gillhouse, civilservant,muthurwa,jogoo road, buruburu",CBET SACCO
NTSA/RSN-0053,Cbet,ADR-DB3TOWP,,False,"gillhouse, muthurwa,jogoo road,buruburu, civilservant",CBET SACCO
NTSA/RSN-0064,Chania,NTR-0053,,True,"nairobi, thika,matuu,kitui, mwingi",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,NTR-00182,,True,"nairobi, thika, nyeri",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,NTR-00183,,True,"nairobi, thika nyeri nyahururu, nakuru",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,NTR-00236,,True,"nairobi, thika,nyeri,nyahururu, nakuru",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,NTR-00142,,True,"nairobi, thika road,thika, nyeri",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,NTR-00519,,True,"nairobi, thika,matuu, mwingi",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,NTR-00567,,True,"Nairobi, Thika Gatura Olkalou Nyahururu Nakuru, Eldoret",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,NTR-00917,,True,"Nairobi, Thika Nyeri Nyahururu Nakuru, Eldoret",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,NTR-001007,,True,"Nairobi, Ruiru Thika Odonyo Sabuk Matuu Kitui Mwingi Igikiro gatura Flyover Olkalou Nyahururu Nyeri Embu Meru Nakuru, Eldoret",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,NTR-001285,,True,"Nairobi, Eastleigh Outering Rd Eastern Bypass Mombasa Rd Matuu Kitui Mwigi Oldonyo sabuk Thika Ruiru Igikiro Gatura Flyover Olkalou Nyahururu Nyeri Meru Nakuru, Eldoret",CHANIA TRAVELLERS SACCO
NTSA/RSN-0064,Chania,NTR-001145,,True,"nairobi, thika, nyeri, meru",CHANIA TRAVELLERS SACCO
