route_number,description,corridor,status,permit_hits,saccos_mapped,terminals_identified
41,Gikomba-Rounda-Dandora,,UNMAPPED,0,,
42,Allsops-Rounda-Dandora,,UNMAPPED,0,,
43,Bus Station-Pangani-Alssops-Ngumba,thika_road,UNMAPPED,0,,
49,Odeon-Pangani-Roysabu-Kasarani-Sunton,thika_road,MAPPED,4,Lopha,Fig Tree; Odeon
53,Roasters-Thome-Maruirui,,UNMAPPED,0,,
56,Town-Yaya-Congo-Kanungaga,,MAPPED,3,Garamu Travel Solutions; Fastrack United AND Credit,Railways
58,Ambassadeur-Jogoo Road-Buruburu,kangundo_road,MAPPED,18,Risen Company; Buruburu 58; Geobeat Maoka; MNK Society; Eastlands Eagles,Commercial; Fig Tree; Kencom; Muthurwa; Odeon; Otc; Railways
69,Muthurwa-Hillocks-GM,,MAPPED,9,Geobeat Maoka; Indima (nje); Kibera Bureti; Ngumo-line; Southleigh S,Commercial; Fig Tree; Gikomba; Knh; Muthurwa; Otc; Railways
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,kiambu_road,MAPPED,7,Lopha; Githiga; Killeton Commuters Services Savings AND Credit Cooperative; MNK Society,Fig Tree; Odeon
102,Railways-NgongRoad-Kawangware-Kikuyu,ngong_road,MAPPED,70,Pakin Alicia Society; Kadana; Garamu Travel Solutions; MAT TWO Friends; Unified International; Dakika; Expreso; KBS; Kibera Bureti; Nangkis Matatu; RAJ Safaris; Wakimali CO; 2KW; Kibera; Kiragi; Metrotrans East Africa; Bybuss Trans; Fastrack United AND Credit; Karuri Commuters Services Savings AND Credit Co-opertaive Society; Kidagi; Killeton Commuters Services Savings AND Credit Cooperative; Libera Impex; Lira Line Society; Lothian Transporters; Matatu Crew Association; Ngokana; Pals Matatu; Rasasi; Risen Company; Serian; Snowball Society; Sowetamu; Super Metro,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Koja; Muthurwa; Odeon; Otc; Railways
