stage_id,name,lat,lon,corridor,routes,aliases,nearby_osm_name
0511BND,Benedicta,-1.278746,36.967980,,33H 33J 33UTW,Utawala Junction,Benedicta Bus Stage
0201BHC,Beta Health Care,-1.059903,36.782865,kiambu_road,120,,Githunguri Matatu Stage
0701BMK,Beth Mugo High School Kaberia,-1.283395,36.726863,,2 102,Beth Mugo Secondary School,Kibiria
0311BET,Bethany,-1.250111,36.905767,,36 41 42 32D,Cinema,
0301BHS,BH,-1.265820,36.857434,,14 28 41 18C 32D 46B 46H 16/62 17Aky,,Matatu
0401BFR,Biafra,-1.286501,36.851676,,6E,Suncity,Church army
0401BFA,Bifa,-1.290740,36.882550,,36 58,,Umoja/ Mutindwa
0201BLC,Bilco,-1.243994,36.882399,thika_road,25 25A,,adapt alight
0700BMC,Bishop Maigua Centre,-1.299050,36.796961,,2 8 24 4W 102 111 32A,,Bus Stop
0201BLE,Bleria,-1.243924,36.880872,thika_road,25 25A,Kenafric,adapt alight
0101BLU,Blue Kiosk,-1.154688,36.675681,,114R,Kabuku Juncion | Kiosk,
0600STH,Blue Sky Estate,-1.312849,36.815248,,16 24C 34L 33SB,Bluesky Estate,
0801BCM,Bluechip Apartments/Mwimuto Pefa/Tumaini Gardens,-1.233610,36.742150,,119,Mwimuto Salvation Army/Pefa/Bluechip Apartments,
0501BMH,Boma Hotel,-1.324381,36.833850,,12D,Red Cross,Mash Bus services
0500BMS,Bomas,-1.343352,36.766513,,24 125 126 24C 24BK,Bomas/Ongata Rongai Junction | Nakumatt Galleria,
0501BOT,Botanical Gardens,-1.362273,36.747377,,24,,Karen Campus
0701BPP,BP,-1.287695,36.741786,,2 3U 102 103,Bp,Kawangware
0300BPS,Bp Filling Statioon,-1.254669,36.894599,,36 41 42 32D,,SENIOURS STAGE
0601BRB,Braeburn,-1.289476,36.755692,,56 46K 48K,Rusinga School,Congo Stage
0200BWD,Brentwood Hotel,-1.205090,36.832420,kiambu_road,100 120 121 100A,Kasarini | Kasarini Stage,
0401BDG,Bridge,-1.271710,36.881350,,17A 23KS 17Aky,Pioneer Estate,Kariobangi South
0700BRM,Britam,-1.298057,36.813424,,7C 32A,Old Mutual,KCB/Equity
0200BRK,Brookfield,-1.232359,36.926861,thika_road,17B 17B_2,Kobil Petrol Station,
0801BPA,Brooklyn Palm Apartments,-1.277354,36.790529,,48B 48O,Corner Primary School,
0801BRK,Brookside,-1.260987,36.792201,,30 105 115 135 48K 114W 23KG,,Safaricom/Saf
0800BRD,Brookside Drive,-1.255600,36.797660,,118 119,Brookside Drive Junction,Kabete Lane/Total Spring Valley/ Bypass
0711BLB,Bulbul,-1.333908,36.673585,,111,Bulbul Deliverance Church/Kwa Bumps | Bulbul Kanisani(Catholic Church),Bul Bul Bus Stop
0210BUL,Bull,-1.217492,36.897673,thika_road,49 17B 17B_2,Bull And Budh | Metro | Nesther,Equity
0701BPS,Bumps,-1.295017,36.748142,,4W,Joyland,Satellite
0401BMP,Bumps,-1.269890,36.908340,,19Cdc 19Cjk,Phase 3A,Kanisani
0701BCA,Bumps/Pcea,-1.332217,36.675211,,111,,Umoja Bus Station
0401BRG,Buru Buru Girls,-1.286377,36.874051,,26,Buruburu Girls,
