route,corridor,from_terminus,to_terminus,num_stages,return_towards,stages_in_order,surveyed_description,source_route_id
115,,Koja,Limuru Town Terminal,42,Koja,Koja > Chiromo > Chiromo > Westlands > St. Marks > Lions Place > Brookside > Aacc/Safaricom/Church Road > Aga Khan High School > Abc Place Stage > Abc Place Entrance > James Gichuru Junction > Kari > Nairobi School > Deloitte > Afralti > Kianda School > Sodom > Kangemi Market > Kabete Police Station > Kinoo > Mutiga > Rungiri > Gitaru > Sigona > Zopen > Gicini > Muguga > Ika Ithano > Ika Ithano > Ha Joram > Chunga Mali > Chunga Mali > Rironi > Rironi > Kampala > Kamandura > Kamirithu > Kwa Mbira > Kwa Mbira > Kwa Do > Limuru Town Terminal,Koja-Westlands-Kangemi-Limuru,80000115011
116,,Koja,Limuru Terminus,49,Koja,Koja > Jamuhuri High School > Stima Plaza > Stima Plaza Stage > Wambugu Road > Aga Khan Academy > Oilibya > City Park > 6Th Parklands Avenue/Regal House/Kobil > Belgian Embassy/Karura > Un > Redhill Road > Village Market > Karura/Runda > Runda Estate Entrance > Rosslyn Road > Rosslyn Road/Karura Community Chapel > Shakers/Rosslyn Gate > Delta Petrol Station/ Brook Apartmens > Ruaka Junction > Church Of Acts/Velvet Lounge > Kiambea > Redeemed/Pefa Muchatha > Guango > Kwa Jeki > Kwa Kanisa Ack/National Oil > Muchatha Shopping Centre > Life Sanctuary Church/Muchatha Shopping Centre > Mary Immaculate Catholic Church/Muchatha Shopping Centre > Muchatha Dispensary/Kwa Shule/Yamongo Drive > Kivuti Stage > Sacred Heart > Kwa Njoki Kamili > Kwa Njoki/Ack Thimbigwa > Victory > Zakau > Likoni > Mombasa > Mkulima Supermarket/Banana > Kobil/Banana > Banana Terminus > Makutano > Kimera Medical Centre > Maramba Tea Factory > Ken Chick > Limuru Cataring > Green Valley School > Tigoni > Limuru Terminus,Koja-Ngara-Banana-Limuru,10000116011
118,,Koja,Wangige Stage,27,Koja,Koja > Parklands Sports Club > Mp Shah > Mayfair > Westlands > Sarit > Peponi Road > Brookside Drive Junction > Total/Kabete Lane > Spring Valley Stage/Intel College > Spring Valley Police Station > Hill View > Zen Gardens > Zen Gardens > Peponi House > Kabete Springs > Lower Kabete Posta > Kenya School Of Administration > University Of Nairobi School Of Business > Rhythm College > Gacio Junior Academy > Kamutii Car Wash > Kamutii-Ini > Modern Oil Service Station > Kigeero-Mwisho > Wangige > Wangige Stage,Koja-Westlands-Kabete-Wangige,80100011811
119,,Koja,Wangige Health Centre,30,Koja,Koja > Ngara > Parklands Sports Club > Mp Shah > Mayfair > Westlands > Sarit > Peponi Road > Brookside Drive Junction > Total/Kabete Lane > Spring Valley Stage/Intel College > Spring Valley Police Station > Hill View > Zen Gardens > Zen Gardens > Lake View > Kia > Kirawa Road > New Kitisuru Estate/Total > Mwimuto > Ack Assemblies Of God Mwimuto > Kanini > Bluechip Apartments/Mwimuto Pefa/Tumaini Gardens > Kwa Rhoda > Oasis Mission Hospital > Lekamu > Kibichiku Centre > Kiambu Institute Of Hotels And Catering/Valence School > Ack Kibichiku > Wangige Health Centre,Koja-Westgate-Wangige,80000011911
11A,,Odeon Terminus,Kwa Mosque/Highridge Mwisho,16,Odeon,Odeon Terminus > Ngara Road > Jamuhuri High School > Stima Plaza > Stima Plaza Stage > Wambugu Road > Aga Khan Academy > Oilibya > Aga Khan Hospital Junction > Aga Khan Hospital Stage > Aga Khan Hospital Entrance > Arya Girls' Secondary School > Nakumatt/Post Office > Amani Plaza/Almond Court > Nish Raaj Estate > Kwa Mosque/Highridge Mwisho,Odeon-Aga Khan-Highridge,10100011A11
11B,,Koja,Mayfair,4,Koja,Koja > Parklands Sports Club > Mp Shah > Mayfair,Koja-MP Shah-Westlands,80000011B11
11C,,Odeon,Pangani Terminal,12,Odeon,Odeon > Koja > Ngara > Kie/Pioneer > Fly Over Pangani > Caltexdn > Guru Nanak > Pangani Police Post > Pangani Girls > Mamba Petro Station > Mlango > Pangani Terminal,Odeon-Pangani Flyover-Pangani Girls High School-Mlango-Pangani Terminus,30100011C11
11F,,Odeon,Ruaka Stage,21,Odeon,Odeon > Ngara Road > Jamuhuri High School > Stima Plaza > Stima Plaza Stage > Wambugu Road > Aga Khan Academy > Oilibya > City Park > 6Th Parklands Avenue/Regal House/Kobil > Belgian Embassy/Karura > Un > Redhill Road > Village Market > Karura/Runda > Runda Estate Entrance > Rosslyn Road > Rosslyn Road/Karura Community Chapel > Shakers/Rosslyn Gate > Delta Petrol Station/ Brook Apartmens > Ruaka Stage,Odeon-UN-Ruaka,10300011F11
125,,Railways,Kware,34,Railways,Railways > Kobil Haile Selassie > Nyayo Stadium/Nairobi West Stage > Madaraka Flyover Stage > Shell/T-Mall > Wilson Airport/Shell > Amref > Dam Estate > Carnivore/Uchumi Hyper > Lang'Ata > Barracks > Lang'Ata Road Stage/St. Mary'S H > Nairobi National Park/Orphanage > Lang'Ata Cemetery > Wck > Bomas/Ongata Rongai Junction > Nairobi National Park Gate > Cuea > Acacia/Total > Maro Gardens > Banda School > Mukoma Road > Multimedia University > Hashi/Visions Of Glory Church > Nibs/Ongata Rongai > Uchumi/Masai Mall/Ongata Rongai > Tumaini/Ongata Rongai > Kobil > St.Mary'S Ccatholic Church > Tyme Arcade/Ongata Mall > Ongata Police Station/Nyotu > Kenol > Legend/Tuskys > Kware,Railways-Langata Road-Bomas-Ongata Rongai,50205012511
126,,Railways,Kiserian,47,Railways,Railways > Kobil Haile Selassie > Nyayo Stadium/Nairobi West Stage > Madaraka Flyover Stage > Shell/T-Mall > Wilson Airport/Shell > Amref > Dam Estate > Carnivore/Uchumi Hyper > Lang'Ata > Barracks > Lang'Ata Road Stage/St. Mary'S H > Nairobi National Park/Orphanage > Lang'Ata Cemetery > Wck > Bomas/Ongata Rongai Junction > Nairobi National Park Gate > Cuea > Acacia/Total > Maro Gardens > Banda School > Mukoma Road > Multimedia University > Hashi/Visions Of Glory Church > Nibs/Ongata Rongai > Uchumi/Masai Mall/Ongata Rongai > Tumaini/Ongata Rongai > Kobil > St.Mary'S Ccatholic Church > Tyme Arcade/Ongata Mall > Ongata Police Station/Nyotu > Kenol > Legend/Tuskys > Kware > Nairobi Womens > Olerai > Laiser Hill > Exciting > Acacia > Adventist University > Nkoroi White House > Kanisani/Pcea > Rimpa > Nalepo > Kiserian Girls/Kwa Maji > Kiserian Market > Kiserian,Railways-Langata Road-Ongata Rongai-Kiserian,50205012611
129,,Kikuyu Terminus,Wangige Stage,16,Kikuyu,Kikuyu Terminus > Pine Crib Apartments > Kikuyu Country Resort > Kwa Ngwacii Junction > Gitaru Junction > Kwa Njeru/Gitaru/Pank View > Kwa Njeru Stage > Magu > Matta > Muthure > Ack St. Phillips > Kanyariri > Acacia Junction/King'Eero > Pefa King'Eero > Total Wangige > Wangige Stage,Kikuyu-Magu-Kingeero-Wangige,70000012911
12C,,Bus Station,Container/New Apostolic Church,12,Bus Station,Bus Station > Nyayo > The Office > Capital Centre > Belleview > Mombasa Road Turnoff > Oilibya/Nema > Nema/Mavuno > Redcross/Kipi > Kirdi/Southend Estate > Akila/Akila Police Post > Container/New Apostolic Church,Bus Station-Red Cross-Mugoya,50300012C11
12D,,Bus Station,Highway Estate,17,Bus Station,Bus Station > Nyayo > The Office > Capital Centre > Belleview > Mombasa Road Turnoff > Oilibya/Nema > Nema/Mavuno > Red Cross > Boma Hotel > College Of Insurance > Madina Estate > Kenya Assemblies Of God/Dafam Hotel > Friends Court > Athi House > Amboseli Estate > Highway Estate,Bus Station-Red Cross-KPA-College Of Insurance-Amboseli,50301012D11
135,,Kaka Terminal,Limuru Town Terminal,44,Uthiru,Kaka Terminal > Chiromo > Chiromo > Westlands > St. Marks > Lions Place > Brookside > Aacc/Safaricom/Church Road > Aga Khan High School > Abc Place Stage > Abc Place Entrance > James Gichuru Junction > Kari > Nairobi School > Deloitte > Afralti > Kianda School > Sodom > Kangemi Market > Custoil > Nne Market/Sokoni > Kabete Police Station > Kinoo > Mutiga > Rungiri > Gitaru > Sigona > Zopen > Gicini > Muguga > Ika Ithano > Ika Ithano > Ha Joram > Chunga Mali > Chunga Mali > Rironi > Rironi > Kampala > Kamandura > Kamirithu > Kwa Mbira > Kwa Mbira > Kwa Do > Limuru Town Terminal,Kaka-Westlands-Kangemi-Limuru,80000135011
14A,,Bus Station,Strathmore/Siwaka,12,Bus Station,Bus Station > Kenya Polytechnic Bus Stop > Nyayo Stadium/Nairobi West Stage > West End Bar/Barclays > Nairobi West Stage > Discount > Kodi I > Kodi Ii > Madaraka Shopping Centre > Nhc Flats/Madaraka Primary School > 7Up > Strathmore/Siwaka,Bus Station-Nairobi West-Madaraka-Strathmore,50201014A11
14B,,Bus Station,T-Mall,14,Bus Station,Bus Station > Kenya Polytechnic Bus Stop > Nyayo Stadium/Nairobi West Stage > West End Bar/Barclays > Nairobi West Stage > Discount > West Mall > Miller Estate > Civil Servants > Moi Educational Centre > Kenya Society For The Blind > Space Apartments > Magharibi/Kogo Star > T-Mall,Bus Station-Nairobi West-TMall,50201014B11
