route_id,direction,sequence,stage_id
50206002411,in,7,0501UCH
50206002411,in,8,0511LGT
50206002411,in,9,0511BRK
50206002411,in,10,0500LGS
50206002411,in,11,0511OPR
50206002411,in,12,0501LGC
50206002411,in,13,0501WCK
50206002411,in,14,0512NKG
50206002411,in,15,0501NPC
50206002411,in,16,0511CAT
50206002411,in,17,0501KNA
50206002411,in,18,0511MAM
50206002411,in,19,0511TAN
50206002411,in,20,0511KAJ
50206002411,in,21,0501SOL
50206002411,in,22,0511SOL
50206002411,in,23,0501BOT
50206002411,in,24,0501MAB
50206002411,in,25,0501KIL
50206002411,in,26,0501HSB
50206002411,in,27,0511POL
50206002411,in,28,0501HMA
50206002411,in,29,0501MAS
50206002411,in,30,0501KOD
50206002411,in,31,0501COG
50206002411,in,32,0501MAL
50206002411,in,33,0501MBO
50206002411,in,34,0501CEM
50206002411,in,35,0501KBX
50206002411,in,36,0501TAM
50206002411,in,37,0501FOR
50206002411,in,38,0501KAE
50206002411,in,39,0501MAU
50206002411,in,40,0501LRJ
50206002411,in,41,0501DBB
50206002411,in,42,0501KCL
50206002411,in,43,0503KNK
50206002411,out,0,0700KEL
50206002411,out,1,0700TLF
50206002411,out,2,0700CRP
50206002411,out,3,0700SHW
50206002411,out,4,0700MTO
50206002411,out,5,0700LEA
50206002411,out,6,0710LNN
50206002411,out,7,0700FVM
50206002411,out,8,0700RAC
50206002411,out,9,0700PWA
50206002411,out,10,0700KEO
50206002411,out,11,0700STK
50206002411,out,12,0700SGR
50206002411,out,13,0700TRD
50206002411,out,14,0700CDT
50206002411,out,15,0710NKT
50206002411,out,16,0710BBT
50206002411,out,17,0710IMJ
50206002411,out,18,0710POD
50206002411,out,19,0710ADC
50206002411,out,20,0710KRD
50206002411,out,21,0710TTL
50206002411,out,22,0700BMC
50206002411,out,23,0710CCT
50206002411,out,24,0710CME
50206002411,out,25,0712KNH
50206002411,out,26,0710TNA
50206002411,out,27,0700NHF
50206002411,out,28,0510AGP
50206002411,out,29,0712KNC
20801002511,out,0,0212BBT
20801002511,out,1,0211KNJ
20801002511,out,2,0211NGR
20801002511,out,3,0211PIO
20801002511,out,4,0201PNG
20801002511,out,5,0211MTG
20801002511,out,6,0211NYS
20801002511,out,7,0211KCA
20801002511,out,8,0211DRV
20801002511,out,9,0201DAW
20801002511,out,10,0201CON
20801002511,out,11,0201RUA
20801002511,out,12,0201BLE
20801002511,out,13,0201BLC
20801002511,out,14,0211CAT
20801002511,out,15,0201BBP
20801002511,out,16,0213BDT
20801002511,in,0,0213BDT
20801002511,in,1,0200BBC
20801002511,in,2,0200KEN
20801002511,in,3,0210NVS
20801002511,in,4,0200CON
20801002511,in,5,0210DRV
20801002511,in,6,0210KCA
20801002511,in,7,0210SUR
20801002511,in,8,0210MTG
20801002511,in,9,0210PNG
20801002511,in,10,0200GNK
20801002511,in,11,0210NGR
20801002511,in,12,0210FIG
20801002511,in,13,0210KNJ
20801002511,in,14,0212BBT
40501002611,out,0,0412MKD
40501002611,out,1,0401LUM
40501002611,out,2,0401JNB
40501002611,out,3,0401MTP
40501002611,out,4,0401BRG
40501002611,out,5,0401HRB
40501002611,out,6,0411HRB
40501002611,out,7,0401HUJ
40501002611,out,8,0401KBU
40501002611,out,9,0401KCT
40501002611,out,10,0401NBP
40501002611,out,11,0401BPR
40501002611,out,12,0411BP1
40501002611,out,13,0401RPL
40501002611,out,14,0411SOS
40501002611,out,15,0401MWS
40501002611,out,16,0400TTL
40501002611,out,17,0400MYK
40501002611,out,18,0401HMN
40501002611,out,19,0401RDB
40501002611,out,20,0401KCB
40501002611,out,21,0401EQY
40501002611,out,22,0401KSN
40501002611,out,23,0403BNG
40501002611,in,0,0403BNG
40501002611,in,1,0400KCB
40501002611,in,2,0403RAU
40501002611,in,3,0400HMN
40501002611,in,4,0401MYK
40501002611,in,5,0400PIO
40501002611,in,6,0401TTL
40501002611,in,7,0400TMW
40501002611,in,8,0400PSG
40501002611,in,9,0400PSM
40501002611,in,10,0400BPS
40501002611,in,11,0400BRB
40501002611,in,12,0400BNB
40501002611,in,13,0400BKB
40501002611,in,14,0400UJN
40501002611,in,15,0400HRB
40501002611,in,16,0410HRB
40501002611,in,17,0410BRG
40501002611,in,18,0400MTP
40501002611,in,19,0410MAK
40501002611,in,20,0400LMS
40501002611,in,21,0400N10
40501002611,in,22,0400HDH
40501002611,in,23,0400FDS
40501002611,in,24,0400PS1
40501002611,in,25,0402MWH
30800002811,out,0,0312GKM
30800002811,out,1,0210PMS
30800002811,out,2,0301MAP
30800002811,out,3,0301BHS
30800002811,out,4,0311AGP
30800002811,out,5,0311TEN
30800002811,out,6,0311THY
30800002811,out,7,0311CHF
30800002811,out,8,0301BAS
30800002811,out,9,0301FLT
30800002811,out,10,0311JSG
30800002811,out,11,0301MTS
30800002811,out,12,0303KRG
30800002811,in,0,0300KRG
30800002811,in,1,0303KRG
30800002811,in,2,0300JAS
30800002811,in,3,0310JST
30800002811,in,4,0310FLT
30800002811,in,5,0300BAS
30800002811,in,6,0310CHF
30800002811,in,7,0310TEN
30800002811,in,8,0310FRC
30800002811,in,9,0310JAY
30800002811,in,10,0210GRG
30800002811,in,11,0210PMH
30800002811,in,12,0312GKM
80400003011,out,0,0812ODE
80400003011,out,1,0811MUS
80400003011,out,2,0801CHR
80400003011,out,3,0812WST
80400003011,out,4,0801STM
80400003011,out,5,0801LIO
80400003011,out,6,0801BRK
80400003011,out,7,0801SAF
80400003011,out,8,0811AGA
80400003011,out,9,0811ABC
80400003011,out,10,0801ABE
80400003011,out,11,0801JGJ
80400003011,out,12,0811KAR
80400003011,out,13,0801NSH
80400003011,out,14,0801DEL
80400003011,out,15,0801AFL
80400003011,out,16,0811KND
80400003011,out,17,0801SDM
80400003011,out,18,0801SGS
80400003011,out,19,0801MVT
80400003011,out,20,0811NNS
80400003011,out,21,0801KBI
80400003011,out,22,0801ATI
80400003011,out,23,0801ILA
80400003011,out,24,0801FLF
80400003011,out,25,0803NDT
80400003011,in,0,0803NDT
80400003011,in,1,0800FON
80400003011,in,2,0810SGB
80400003011,in,3,0810KMI
80400003011,in,4,0800HES
80400003011,in,5,0800CCK
80400003011,in,6,0810NSH
80400003011,in,7,0810KAR
80400003011,in,8,0800KBB
80400003011,in,9,0800WDC
80400003011,in,10,0810WPS
80400003011,in,11,0810LIO
