stage_id,name,lat,lon,kind
osm:12603738815,Membley/ Gitambaya,-1.157601,36.955307,station
osm:5534129324,Mihango stage,-1.265300,36.923200,bus_station
osm:5940324789,Minibuses for Naivasha,-1.284049,36.829676,platform
osm:11301678570,Minibuses to Westlands,-1.282073,36.825408,platform
osm:12901749586,Mitubiri,-0.995734,37.136199,station
osm:7942847242,Mkokoteni,-1.266703,36.846038,bus_stop
osm:8050437506,Mkokoteni,-1.288910,36.750198,bus_station
osm:7942847251,Mkokoteni Stage,-1.267185,36.843693,platform
osm:10832093290,Mkulima supermarket,-1.175079,36.759251,platform
osm:10844057368,Mkulima Supermarket/Banana,-1.175287,36.759291,platform
osm:7942847235,Mlango Kubwa Stage,-1.267695,36.843338,platform
osm:7942847246,Mlango Kubwa Stage,-1.267323,36.843678,platform
osm:7942847250,Mlango Kubwa Stage,-1.266793,36.843645,platform
osm:7174109429,Mlango Soko,-1.235576,36.673249,platform
osm:12565684133,Mlolongo,-1.399049,36.934514,station
osm:4406623089,Modern Coast Booking Nairobi Cross Lane,-1.281783,36.827900,bus_station
osm:5832891486,Modern Coast Booking Office,-1.281325,36.823794,bus_station
osm:7942847241,Moffa Stage,-1.263210,36.854825,bus_stop
osm:7942847253,Moffa Stage,-1.263052,36.854905,bus_stop
osm:13143015821,Molo,-1.187314,36.769788,platform
osm:5950738186,Mololine shuttle,-1.282019,36.825761,bus_station
osm:10832126025,Mombasa,-1.177881,36.760284,platform
osm:10673606285,Mosque,-1.302682,36.802626,platform
osm:7174126757,Mountain View,-1.264297,36.738272,platform
osm:7174126758,Mountain View,-1.264726,36.737721,platform
osm:10832126021,Movers,-1.210059,36.789171,platform
osm:10832126024,Movers/Rosslyn Centre,-1.210948,36.790209,platform
osm:8050437486,Msalaba,-1.287575,36.748675,bus_station
osm:8050437507,Msalaba Bus Stage,-1.287472,36.748727,bus_station
osm:5552396281,MSL Operators,-1.282915,36.824143,bus_station
osm:8050414669,Mtimoja,-1.283846,36.752963,bus_stop
osm:10844057371,Muchatha Shopping Centre,-1.192055,36.775879,platform
osm:1624301487,Muguga,-1.178713,36.648939,station
osm:5352828547,Mugumoini,-1.209259,36.799736,bus_stop
osm:2978942857,Munyu Bus Station,-1.038262,37.080204,bus_station
osm:8050414670,Muslim Stage,-1.280088,36.743992,bus_station
osm:5106128386,Muthaiga Bus Stop,-1.258853,36.842691,bus_stop
osm:5106128387,Muthaiga Bus Stop,-1.259146,36.842357,bus_stop
osm:10844057348,Muthaiga Mini Market,-1.250151,36.820749,platform
osm:10832093301,Muthaiga Shopping Centre,-1.250537,36.819842,platform
osm:7174109434,Muthiga,-1.249538,36.684582,platform
osm:7174109445,Muthiga,-1.249630,36.684209,platform
osm:12848638695,Mutuini,-1.296382,36.706409,station
osm:13319259801,Mwihoko 160,-1.201771,36.960781,bus_stop
osm:6249434335,Mwiki,-1.235081,36.937091,station
osm:1728904152,N (Posta / Technical),-1.263747,36.729063,platform
osm:1728904180,N (Posta),-1.263337,36.729498,platform
osm:1728904157,N (Sokoni),-1.264077,36.730227,platform
osm:10772600705,Naeka Sacco Bus to Oloitoktok 800ksh 2023,-1.284731,36.830608,bus_station
osm:13375561501,Nairobi,-1.274501,36.811203,bus_station
osm:13596656751,Nairobi Terminus,-1.355360,36.898072,station
osm:5234651121,Naivasha bus stop,-1.284785,36.830764,platform
osm:6210275899,Namanga Junction,-1.435656,36.972613,bus_station
osm:5178217727,Narokline,-1.282369,36.830985,bus_station
osm:10832126023,National Oil/Muchatha,-1.193428,36.777892,platform
osm:7848968285,Nawasuku,-1.282525,36.824357,platform
osm:7881075185,Nawasuku,-1.282587,36.824419,platform
osm:5558893721,Ndemi bus stop,-1.300122,36.777367,platform
osm:12075947833,Ndongoro,-1.229827,36.709870,bus_stop
osm:895455531,Ndumbuini,-1.256589,36.724019,platform
osm:2473361317,Ngara,-1.274246,36.823729,platform
osm:7643249986,Ngomongo,-1.202348,36.890645,bus_stop
osm:5525515329,Ngumba Bus Terminal,-1.233751,36.884409,bus_station
osm:612007093,Ngummo Bus Stop,-1.310830,36.799816,platform
osm:292003327,Ngumo Stage,-1.310638,36.799672,platform
osm:12075947826,Ngurukuri/Kwa Ziki,-1.231887,36.711582,bus_stop
osm:8757390817,Njomoko,-1.043693,37.060541,bus_stop
osm:7942847248,No 10,-1.263775,36.861083,bus_stop
osm:2875606116,North Rift Shuttle,-1.288128,36.828721,platform
osm:5636724259,Nyando,-1.277339,36.915855,bus_station
osm:10832126009,Oilibya/2nd Parklands Avenue,-1.264200,36.824691,platform
osm:10844057342,OiLibya/2nd Parklands Avenue,-1.264690,36.824320,platform
osm:3519412635,Oloosurutia Bus Stop,-1.411356,36.687890,bus_stop
osm:4967709407,Olympic Stage,-1.311645,36.777996,bus_stop
osm:4210565064,Pathway Stage,-1.304676,36.745409,bus_stop
osm:12075947841,Pefa King'eero,-1.224108,36.707355,bus_stop
osm:10832126020,Pefa/All Nations/Muchatha,-1.197161,36.782918,platform
osm:12075947837,Peponi Road,-1.259390,36.801950,bus_stop
osm:5961251086,Pioneer academy junction,-1.270244,36.899025,bus_stop
osm:4512673877,Prestige Plaza,-1.299730,36.787241,bus_stop
osm:5654059640,Prestige Shuttle,-1.282762,36.825589,bus_station
osm:8050437488,Prime,-1.276463,36.759264,bus_station
osm:4210570909,Racecourse Bus Stage,-1.305766,36.742133,platform
osm:8050414667,Raila Estate,-1.281030,36.740878,bus_station
osm:541352243,Railway Stage,-1.291403,36.828650,platform
osm:10844057366,Redeemed/Pefa Muchatha,-1.197245,36.782859,platform
osm:10832126016,Redhill Road Junction,-1.233980,36.803390,platform
osm:10844057339,Redhill Road/Polish Embassy,-1.234483,36.803665,platform
osm:1831879048,Riruta,-1.292834,36.737417,bus_stop
osm:8050414664,Riruta Stage,-1.286687,36.752557,bus_station
osm:8050414665,Riruta Stage,-1.285913,36.739590,bus_station
osm:2556112945,Riverside Shuttle,-1.280921,36.818915,platform
osm:5555074078,ROG SACCO,-1.286740,36.827167,bus_station
osm:10832126015,Rosslyn Road/Karura Community Chapel,-1.216449,36.799275,platform
osm:10844057360,Rosslyn Road/Riviera,-1.217251,36.800423,platform
osm:10832093297,Rosslyn Total,-1.210491,36.789599,platform
osm:10844057351,Rosslyn Valley,-1.223201,36.802579,platform
osm:9800929010,Rounda,-1.324395,36.899441,platform
osm:2324284695,Route 44/45,-1.227797,36.881578,bus_station
osm:2324284696,Route 44/45,-1.243508,36.867789,platform
osm:2306253587,ROUTE 46,-1.255416,36.878471,bus_station
osm:13009141047,Royal swift Sacco,-1.284270,36.826301,bus_station
osm:1719330033,Roysambu,-1.218227,36.892560,platform
osm:1719330053,Roysambu,-1.218570,36.892742,platform
osm:3289328866,Roysambu,-1.217985,36.890931,platform
osm:6249063018,Roysambu,-1.220427,36.891057,platform
osm:5743474195,Roysambu-Town stage,-1.217561,36.891493,platform
osm:5331583695,Rt 107 Bus Stop,-1.194618,36.730884,bus_stop
osm:5886553696,Ruai,-1.271334,36.997139,bus_stop
osm:10844057353,Ruaka,-1.207580,36.786271,platform
osm:10832126019,Ruaka/Banana Junction/Tuskys Supermarket,-1.207158,36.785993,platform
osm:1645631466,Ruiru,-1.150303,36.960527,station
osm:12886303155,Ruiru stage,-1.147137,36.959355,bus_station
osm:10832126018,Runda Estate Entrance,-1.218730,36.801770,platform
osm:10844057363,Runda Estate Entrance,-1.218600,36.801680,platform
osm:10832126017,Runda/Karura Carwash,-1.220910,36.801440,platform
osm:7174109431,Rungiri,-1.242993,36.677341,platform
osm:7174109443,Rungiri,-1.242904,36.676971,platform
osm:12075947820,Rungiri,-1.231160,36.711048,bus_stop
osm:5636724236,Sabasaba,-1.273000,36.918141,bus_station
osm:10832126014,Sacred Heart,-1.186278,36.767456,platform
osm:7174143607,Safaricom/Saf,-1.259802,36.786112,platform
osm:7174143608,Safaricom/Saf,-1.259708,36.788454,platform
osm:8050437489,Salim,-1.276517,36.759313,bus_station
osm:8050437491,Salim rd,-1.281414,36.754183,bus_station
