sacco,permit_no,via_raw,via_points
CHANIA TRAVELLERS SACCO,ADR-7WRS2W2,"nairobi, thika,nyeri, embu",nairobi|thika|nyeri|embu
CHANIA TRAVELLERS SACCO,ADR-BQ9SZE5,"nairobi, nyeri,thika road, thika",nairobi|nyeri|thika road|thika
CHANIA TRAVELLERS SACCO,ADR-REOSOMB,"nairobi, mwingi,thika, matuu",nairobi|mwingi|thika|matuu
CHANIA TRAVELLERS SACCO,ADR-MDMSM85,"thika, nakuru, flyover",thika|nakuru|flyover
CHANIA TRAVELLERS SACCO,ADR-YM3SLQD,"nairobi, meru, embu",nairobi|meru|embu
CHANIA TRAVELLERS SACCO,ADR-8LMSOPW,"nairobi, thika, nyeri, nyahururu, nakuru",nairobi|thika|nyeri|nyahururu|nakuru
CHANIA TRAVELLERS SACCO,ADR-ZZJSZDW,"nairobi, nakuru, nyeri",nairobi|nakuru|nyeri
CHELSEA TRANSPORTERS LIMITED,NTR-00202211011801400,"Commercial, Bus Station Thika Rd Zimmerman Githurai 44 Kahawa West Ruiru Ruaka Limuru Juja, Juja Farm",commercial|bus station thika rd zimmerman githurai 44 kahawa west ruiru ruaka limuru juja|juja farm
CHELSEA TRANSPORTERS LIMITED,NTR-00202211071700350,"Commercial, Bus Station Thika Rd Zimmerman Githurai 44 Northern Bypass Ruiru Ruaka Kikuyu via Waiyaki Way Limuru Juja, Juja Farm",commercial|bus station thika rd zimmerman githurai 44 northern bypass ruiru ruaka kikuyu via waiyaki way limuru juja|juja farm
CIRCULAR CLASSIC COMPANY LIMITED,NTR-00202009101604470,"Nairobi, Kangundo road Tala Kangundo, Machakos .",nairobi|kangundo road tala kangundo|machakos
CIRCULAR CLASSIC COMPANY LIMITED,NTR-00202009101603390,"Nairobi, Machakos Masii Mwala Kithimani Garissa road, Ol donyo Sabuk .",nairobi|machakos masii mwala kithimani garissa road|ol donyo sabuk
CIRCULAR CLASSIC COMPANY LIMITED,NTR-00201910290905210,"Nairobi, EastleighPangani TerminusJuja Thika Garissa rd Mwala Kithiani Masii Machakos Tala, Kangundo rd",nairobi|eastleighpangani terminusjuja thika garissa rd mwala kithiani masii machakos tala|kangundo rd
CIRCULAR CLASSIC COMPANY LIMITED,NTR-00202111051642530,"eastleigh, northern bypass eastern bypass jogoo rd mombasa rd utawala, ruai",eastleigh|northern bypass eastern bypass jogoo rd mombasa rd utawala|ruai
CIRCULAR CLASSIC COMPANY LIMITED,NTR-00706,"Nairobi, eastleigh kahawa west muranga othaya nyeri mwea, embu",nairobi|eastleigh kahawa west muranga othaya nyeri mwea|embu
CIRCULAR CLASSIC COMPANY LIMITED,NTR-00202111051643520,"kiambu via westlands, kikuyu ruiru limuru, naivasha",kiambu via westlands|kikuyu ruiru limuru|naivasha
CIRCULAR CLASSIC COMPANY LIMITED,NTR-00202111121600130,"eastleigh, jogoo rd mombasa rd utawala eastern bypass mwihoko kawaha west via mwiki northern bypass, ruiru",eastleigh|jogoo rd mombasa rd utawala eastern bypass mwihoko kawaha west via mwiki northern bypass|ruiru
CIRCULAR CLASSIC COMPANY LIMITED,NTR-00202009231508300,"Commercial, eastleigh jogoo rd manyanja rd umoja innercore komarock eastern bypass utawala mombasa rd westlands kikuyu kiambu northern bypass kahawa west ruiru mwihoko kasarani, mwiki",commercial|eastleigh jogoo rd manyanja rd umoja innercore komarock eastern bypass utawala mombasa rd westlands kikuyu kiambu northern bypass kahawa west ruiru mwihoko kasarani|mwiki
CIRCULAR CLASSIC COMPANY LIMITED,ADR-WZ9SDA5,"Nairobi, Eastleigh,Pangani Terminus,Juja town, Thika",nairobi|eastleigh|pangani terminus|juja town|thika
city star shuttle limited,NTR-0020181211134410497,"bus station, kencom,gpo,knh,adams arcade,karen,ngong,matasia,kiseriani,rongai,bomas,langata road, kiserian",bus station|kencom|gpo|knh|adams arcade|karen|ngong|matasia|kiseriani|rongai|bomas|langata road|kiserian
city star shuttle limited,NTR-0020181211134054530,"kikuyu, kawangware,ngong road,yaya,icea,ambassadeur,bus station,jogoo road,kangundo road,utawala,ruai,joska, malaa",kikuyu|kawangware|ngong road|yaya|icea|ambassadeur|bus station|jogoo road|kangundo road|utawala|ruai|joska|malaa
city star shuttle limited,NTR-00202101251020460,"South B, Langata Ongata Rongai Kiserian Ngong Karen Kawangware Yaya KNH Ambassador Kencom Bus station Jogoo rd Buruburu Umoja Kangundo rd Ruai Malaa Kantafu Utawala Jkia Mombasa rd SGR Syokimau Athi river Kitengela, Isinya",south b|langata ongata rongai kiserian ngong karen kawangware yaya knh ambassador kencom bus station jogoo rd buruburu umoja kangundo rd ruai malaa kantafu utawala jkia mombasa rd sgr syokimau athi river kitengela|isinya
