route,corridor,from_terminus,to_terminus,sacco,permit_no,coverage,hits_of_total,via_raw,confidence,VERDICT
56,,Railways,Kanungaga/56 Mwisho,FIVE FRIENDS INVESTMENT COMPANY LIMITED,ADR-8LMS562,0.67,2/3,"Ngara, Huruma Dandora Molem road Kangundo roadMalaauUtawala Mlolongo Outering rd Thika rd Gikomba Jogoo rd Savannah, Kayole",medium,
58,,Ambassadeur,Mutindwa,DABUMATO COMMUTER SERVICE SAVINGS & CREDIT CO-OPERATIVE SOCIETY LTD,ADR-MDMSJLB,0.75,3/4,"city stadium, jogoo road,buru buru, dandora",medium,
58,,Ambassadeur,Mutindwa,DABUMATO COMMUTER SERVICE SAVINGS & CREDIT CO-OPERATIVE SOCIETY LTD,ADR-YM3SBMA,0.75,3/4,"city stadium, dandora,jogoo road, buru buru",medium,
58,,Ambassadeur,Mutindwa,DANDORA USAFIRI TRAVELLERS SACCO,ADR-Q5LC66E,0.75,3/4,"city stadium, jogoo road,buru buru, dandora",medium,
58,,Ambassadeur,Mutindwa,EASTLANDS EAGLES LIMITED,ADR-DB3T3R6,0.75,3/4,"city stadium, jogoo road,buru buru, dandora",medium,
58,,Ambassadeur,Mutindwa,EASTLANDS EAGLES LIMITED,ADR-3ZQSADR,0.75,3/4,"city stadium, dandora,jogoo road, buru buru",medium,
69,,Muthurwa,Gm Mwisho,INDIMA (NJE) SACCO,ADR-EPJSA6V,0.75,3/4,"muthurwa, jogoo road,likoni road, industrial area",medium,
69,,Muthurwa,Gm Mwisho,INDIMA (NJE) SACCO,ADR-2DVSZ6L,0.75,3/4,"muthurwa, kwa njenga,enterprise road, lusaka road",medium,
69,,Muthurwa,Gm Mwisho,OUTREACH TRAVEL,ADR-Q5LCEKZ,0.75,3/4,"muthurwa, kwa njenga,enterprise road, lusaka road",medium,
69,,Muthurwa,Gm Mwisho,EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,NTR-00465,0.67,4/6,"embakasi, jogoo road, msa road, outereing road,all sops, accra road",medium,
69,,Muthurwa,Gm Mwisho,STAHITO  COMMUTER  SERVICES CO. LIMITED,ADR-ZZJSL6R,0.67,4/6,"muthurwa, jogoo road , likoni road, industrial area, mombasa road, kitengela",medium,
6E,,Church Army,Joster,,,,,,unknown,
7C,,Kencom,Kenyatta Hospital Stage,LOTHIAN TRANSPORTERS,ADR-3ZQS3QL,0.67,2/3,"Mombasa rd, Outering rd Juja rd Eastleigh Tom mboya Kenyatta av GPO Community Knh Ngong rd Kawangware Kikuyu waiyaki way forest rd Kiambu rd bypass thika rd Githurai mwiki Ruiru Thika, kenol",medium,
7C,,Kencom,Kenyatta Hospital Stage,UNIFIED INTERNATIONAL LIMITED,ADR-537HYVM,0.67,2/3,"Mombasa rd, Outering rd Juja rd Eastleigh Tom mboya Kenyatta av GPO Community Knh Ngong rd Kawangware Kikuyu Kiambu rd bypass thika rd Githurai Ruiru Thika, kenol",medium,
7C,,Kencom,Kenyatta Hospital Stage,UNIFIED INTERNATIONAL LIMITED,ADR-A5AC2AY,0.67,2/3,"Mombasa rd, Outering rd Juja rd Eastleigh Tom mboya Kenyatta av GPO Community Knh Ngong rd Kawangware Kikuyu waiyaki way forest rd Kiambu rd bypass thika rd Githurai mwiki Ruiru Thika, kenol",medium,
7C,,Kencom,Kenyatta Hospital Stage,UNIFIED INTERNATIONAL LIMITED,ADR-9AKFOPZ,0.67,2/3,"Mombasa rd, Outering rd Juja rd Eastleigh Tom mboya Kenyatta av GPO Community Knh Ngong rd Kawangware Kikuyu waiyaki way Westlands Limuru Rd forest rd Kiambu rd bypass thika rd Githurai mwiki Ruiru Thika, kenol",medium,
7C,,Kencom,Kenyatta Hospital Stage,UNIFIED INTERNATIONAL LIMITED,ADR-DB3TQR7,0.67,2/3,"Mombasa rd, Outering rd Juja rd Eastleigh Tom mboya Kenyatta av GPO Community Knh Ngong rd Kawangware Kikuyu waiyaki way Westlands Limuru Rd forest rd Kiambu rd bypass thika rd Githurai mwiki Ruiru Thika, kenol",medium,
102,,Railways,Kikuyu,KADANA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-MDMSQK8,1.00,5/5,"kikuyu, dagoreti, karen, ngong road, railways",high,
102,,Railways,Kikuyu,KADANA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-YM3S6VM,1.00,5/5,"kikuyu, dagoreti, karen, ngong road, railways",high,
102,,Railways,Kikuyu,DAKIKA MATATU OWNERS SACCO,ADR-8LMSVRP,1.00,4/4,"railways, ngong road, dagoretti, kikuyu",high,
